time_sec,value
244.376,384
244.460,464
244.555,394
244.628,308
244.739,384
244.835,363
244.910,365
245.016,400
245.097,421
245.181,462
245.255,433
245.374,448
245.446,467
245.537,501
245.640,431
245.713,443
245.817,421
245.949,365
246.054,413
246.137,341
246.252,370
246.900,390
247.425,381
247.495,416
247.563,405
247.624,409
247.737,407
247.809,389
247.948,405
248.028,404
248.139,437
248.211,384
248.267,381
248.373,391
248.433,400
248.727,397
248.823,409
248.941,399
249.027,412
249.107,406
249.238,409
249.302,418
249.377,397
249.461,413
249.671,396
249.735,433
249.837,396
249.889,411
249.955,420
250.012,436
250.059,423
250.117,420
250.250,399
250.303,401
250.367,453
250.462,411
250.529,411
250.583,416
250.634,399
250.697,400
250.765,398
250.831,400
250.882,409
250.932,383
250.992,403
251.078,451
251.205,433
251.285,399
251.388,382
251.451,432
251.537,400
252.347,450
253.148,426
254.618,423
256.729,445
257.528,407
258.369,405
258.981,437
259.324,406
260.213,448
260.825,400
261.551,447
262.021,405
262.080,418
262.140,391
262.203,432
262.264,412
262.330,407
262.390,398
262.453,448
262.530,432
262.610,400
262.656,429
262.756,447
262.827,449
262.922,388
262.990,428
263.051,453
263.138,400
263.214,448
263.301,416
263.363,412
263.427,389
263.514,427
263.598,400
263.661,414
263.802,416
263.920,410
263.999,403
264.057,399
264.111,445
264.422,417
264.501,439
264.587,438
264.666,432
264.724,393
264.828,437
264.890,400
264.945,432
265.042,409
265.097,429
265.178,401
265.273,416
265.326,436
265.398,400
265.505,398
265.622,436
265.696,447
265.797,432
265.865,437
265.940,455
266.000,726
266.086,1494
266.135,929
266.229,688
266.319,657
266.429,893
266.527,1833
266.617,1325
266.903,480
266.959,406
267.023,436
267.098,430
267.160,340
267.217,329
267.266,295
267.328,319
267.401,304
267.476,322
267.543,365
267.620,596
267.716,741
267.769,924
267.849,990
267.912,1036
267.970,780
268.043,596
268.111,495
268.186,451
268.257,561
268.412,1009
268.478,817
268.546,445
268.621,254
268.683,225
269.011,289
269.095,208
269.162,320
269.224,302
269.297,293
269.381,245
269.435,208
269.498,208
269.579,209
269.665,211
269.741,173
269.816,235
269.893,3737
269.956,3734
270.029,3728
270.100,3729
270.159,3736
270.217,3728
270.328,3733
270.417,3735
270.525,3730
270.615,3714
270.680,1931
270.783,3734
270.866,3728
270.943,3222
271.033,3737
271.087,3726
271.146,3728
271.224,3738
271.292,3737
271.381,2960
271.460,3715
271.571,2895
271.626,3739
271.705,3727
271.789,3737
271.846,3728
272.501,3729
272.843,3731
272.950,3725
273.026,3731
273.092,3735
273.204,3735
273.282,3721
273.370,3729
273.434,3739
273.558,3739
273.638,3741
273.760,3731
273.897,3733
274.028,3719
274.111,3725
274.165,3729
274.292,3733
274.364,3735
274.448,3732
274.512,3735
274.605,3731
274.735,3734
274.805,3733
274.876,3738
274.934,3729
274.992,3729
275.054,3729
275.121,3711
275.182,3237
275.269,831
275.346,48
275.451,0
275.517,0
275.582,0
275.637,0
275.720,0
275.795,3735
275.854,3733
275.952,3727
276.091,3743
276.156,2745
276.322,3727
276.387,3744
276.445,3743
276.511,3735
276.566,3728
276.619,3725
276.700,3737
276.759,3732
276.811,3735
276.877,3730
276.934,3728
277.005,460
277.062,0
277.125,2685
277.183,0
277.232,4095
277.328,4095
277.388,2589
277.445,0
277.496,2612
277.552,2783
277.625,511
277.692,0
277.746,0
277.831,0
277.895,4095
277.974,653
278.036,0
278.104,0
278.184,0
278.256,2281
278.331,0
278.400,4095
